,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15698,اباذر,158,1392,45570000.0,3,1.0,1.0,1.0,5,5,11
15699,اباذر,122,1397,59836000.0,3,1.0,1.0,1.0,4,5,11
15700,اباذر,134,1396,65500000.0,3,1.0,1.0,1.0,5,5,11
15701,اباذر,66,1392,54773000.0,1,1.0,1.0,1.0,5,5,11
15702,اباذر,110,1390,43545000.0,2,1.0,1.0,1.0,1,1,11
15703,اباذر,135,1384,40741000.0,3,1.0,1.0,1.0,3,3,11
15704,اباذر,90,1400,65000000.0,2,1.0,1.0,1.0,1,1,11
15705,اباذر,80,1382,45000000.0,2,1.0,1.0,0.0,5,5,11
15706,اباذر,123,1385,45528000.0,2,1.0,1.0,1.0,5,5,11
15707,اباذر,100,1389,54000000.0,2,1.0,1.0,1.0,5,5,11
15708,اباذر,71,1379,45070000.0,2,1.0,1.0,1.0,5,5,11
15709,اباذر,83,1390,51205000.0,2,1.0,1.0,1.0,1,1,11
15710,اباذر,82,1391,51829000.0,2,1.0,1.0,1.0,2,2,11
15711,اباذر,128,1396,53516000.0,3,1.0,1.0,1.0,1,1,11
15712,اباذر,124,1398,67661000.0,3,1.0,1.0,1.0,1,1,11
15713,اباذر,123,1392,52000000.0,3,1.0,1.0,1.0,4,4,11
15714,اباذر,88,1392,51136000.0,2,1.0,1.0,1.0,5,5,11
15715,اباذر,136,1391,55809000.0,3,1.0,1.0,1.0,2,2,11
15718,اباذر,200,1390,44000000.0,3,1.0,1.0,1.0,3,3,11
15719,اباذر,60,1395,55833000.0,1,1.0,1.0,1.0,3,5,11
15720,اباذر,100,1392,46000000.0,2,1.0,1.0,1.0,4,4,11
15721,اباذر,52,1382,44231000.0,1,1.0,1.0,1.0,3,3,11
15722,اباذر,123,1386,48780000.0,3,1.0,1.0,1.0,3,3,11
15723,اباذر,125,1384,41200000.0,3,1.0,1.0,1.0,2,5,11
15724,اباذر,73,1393,57260000.0,2,1.0,1.0,1.0,1,1,11
15726,اباذر,105,1386,39048000.0,2,0.0,1.0,1.0,3,3,11
15727,اباذر,240,1383,60417000.0,5,1.0,1.0,1.0,2,5,11
15728,اباذر,105,1395,50476000.0,2,1.0,1.0,1.0,4,4,11
15730,اباذر,85,1393,55882000.0,2,1.0,1.0,1.0,3,3,11
15731,اباذر,78,1388,41026000.0,2,1.0,1.0,1.0,4,4,11
15732,اباذر,76,1387,41842000.0,2,1.0,1.0,1.0,3,3,11
15733,اباذر,77,1383,42857000.0,2,1.0,1.0,1.0,2,4,11
15734,اباذر,83,1382,44578000.0,2,1.0,1.0,1.0,3,6,11
15735,اباذر,245,1393,64449000.0,5,1.0,1.0,1.0,3,3,11
15736,اباذر,78,1397,57692000.0,2,1.0,1.0,1.0,3,3,11
15737,اباذر,102,1395,58824000.0,2,1.0,1.0,1.0,1,1,11
15738,اباذر,83,1397,55422000.0,2,1.0,1.0,1.0,3,3,11
15739,اباذر,122,1387,44262000.0,2,1.0,1.0,1.0,4,4,11
15741,اباذر,200,1385,50000000.0,3,1.0,1.0,1.0,3,5,11
15743,اباذر,195,1385,45385000.0,3,1.0,1.0,1.0,5,5,11
15744,اباذر,75,1389,38667000.0,2,1.0,1.0,1.0,4,4,11
15747,اباذر,76,1380,44737000.0,2,1.0,1.0,1.0,2,2,11
15748,اباذر,114,1399,59211000.0,2,1.0,1.0,1.0,2,2,11
15749,اباذر,130,1394,60000000.0,3,1.0,1.0,1.0,3,3,11
15750,اباذر,73,1385,45205000.0,2,1.0,1.0,1.0,3,3,11
15751,اباذر,93,1400,58065000.0,2,1.0,1.0,1.0,5,5,11
15753,اباذر,78,1399,56026000.0,2,1.0,1.0,1.0,4,6,11
15754,اباذر,66,1395,57576000.0,1,1.0,1.0,1.0,3,3,11
15755,اباذر,85,1392,51176000.0,2,1.0,1.0,1.0,5,5,11
15756,اباذر,72,1384,41667000.0,2,1.0,1.0,1.0,2,5,11
15757,اباذر,55,1394,52727000.0,1,1.0,1.0,1.0,3,3,11
15759,اباذر,62,1396,48387000.0,1,1.0,1.0,0.0,3,3,11
15760,اباذر,83,1397,53012000.0,2,1.0,1.0,1.0,4,4,11
